"id","lat","lon","date","temp_daily_atu","temp_daily_atu_1","temp_daily_atu_5","temp_daily_atu_10"
1,23.8,90.37,2020-12-07,21.3791666666667,42.7416666666667,131.8375,239.891666666667
1,23.8,90.37,2020-12-08,20.7875,42.1666666666667,130.5375,238.933333333333
1,23.8,90.37,2020-12-09,20.0333333333333,40.8208333333333,128.1375,236.670833333333
1,23.8,90.37,2020-12-10,20.2791666666667,40.3125,125.933333333333,235.291666666667
1,23.8,90.37,2020-12-11,19.8666666666667,40.1458333333333,123.708333333333,234.125
1,23.8,90.37,2020-12-12,19.0416666666667,38.9083333333333,121.3875,231.845833333333
1,23.8,90.37,2020-12-13,19.7375,38.7791666666667,119.745833333333,229.495833333333
1,23.8,90.37,2020-12-14,19.4375,39.175,118.395833333333,226.5
1,23.8,90.37,2020-12-15,19.6125,39.05,117.975,223.629166666667
1,23.8,90.37,2020-12-16,19.8958333333333,39.5083333333333,117.591666666667,221.433333333333
1,23.8,90.37,2020-12-17,19.075,38.9708333333333,116.8,219.145833333333
1,23.8,90.37,2020-12-18,17.8083333333333,36.8833333333333,115.566666666667,215.575
1,23.8,90.37,2020-12-19,15.6083333333333,33.4166666666667,111.4375,210.395833333333
1,23.8,90.37,2020-12-20,15.8958333333333,31.5041666666667,107.895833333333,206.258333333333
1,23.8,90.37,2020-12-21,15.8083333333333,31.7041666666667,104.091666666667,201.7875
1,23.8,90.37,2020-12-22,16.7,32.5083333333333,100.895833333333,198.620833333333
1,23.8,90.37,2020-12-23,17.6625,34.3625,99.4833333333333,197.241666666667
1,23.8,90.37,2020-12-24,18.2166666666667,35.8791666666667,99.8916666666667,195.720833333333
1,23.8,90.37,2020-12-25,17.9625,36.1791666666667,102.245833333333,194.245833333333
1,23.8,90.37,2020-12-26,17.5083333333333,35.4708333333333,103.858333333333,192.141666666667
1,23.8,90.37,2020-12-27,16.7041666666667,34.2125,104.754166666667,188.95
1,23.8,90.37,2020-12-28,17,33.7041666666667,105.054166666667,186.875
1,23.8,90.37,2020-12-29,17.0333333333333,34.0333333333333,104.425,186.1
1,23.8,90.37,2020-12-30,18.075,35.1083333333333,104.283333333333,188.566666666667
1,23.8,90.37,2020-12-31,17.9333333333333,36.0083333333333,104.254166666667,190.604166666667
1,23.8,90.37,2021-01-01,17.9416666666667,35.875,104.6875,192.7375
1,23.8,90.37,2021-01-02,17.9083333333333,35.85,105.891666666667,193.945833333333
1,23.8,90.37,2021-01-03,18.3,36.2083333333333,107.191666666667,194.583333333333
1,23.8,90.37,2021-01-04,19.1166666666667,37.4166666666667,109.275,195.483333333333
1,23.8,90.37,2021-01-05,19.7916666666667,38.9083333333333,110.991666666667,197.3125
1,23.8,90.37,2021-01-06,20.5666666666667,40.3583333333333,113.625,200.370833333333
1,23.8,90.37,2021-01-07,21.7208333333333,42.2875,117.404166666667,205.3875
1,23.8,90.37,2021-01-08,21.3458333333333,43.0666666666667,120.841666666667,209.733333333333
1,23.8,90.37,2021-01-09,20.9125,42.2583333333333,123.454166666667,213.6125
1,23.8,90.37,2021-01-10,21.7416666666667,42.6541666666667,126.079166666667,217.279166666667
1,23.8,90.37,2021-01-11,22.6,44.3416666666667,128.8875,221.945833333333
1,23.8,90.37,2021-01-12,20.4,43,128.720833333333,224.404166666667
1,23.8,90.37,2021-01-13,18.7875,39.1875,125.7875,225.283333333333
1,23.8,90.37,2021-01-14,18.975,37.7625,123.416666666667,225.958333333333
1,23.8,90.37,2021-01-15,17.5291666666667,36.5041666666667,120.033333333333,224.370833333333
1,23.8,90.37,2021-01-16,17.0833333333333,34.6125,115.375,221.6625
1,23.8,90.37,2021-01-17,16.9791666666667,34.0625,109.754166666667,218.075
1,23.8,90.37,2021-01-18,16.6333333333333,33.6125,105.9875,212.9875
1,23.8,90.37,2021-01-19,18.35,34.9833333333333,105.55,209.991666666667
1,23.8,90.37,2021-01-20,19.4,37.75,105.975,208.479166666667
1,23.8,90.37,2021-01-21,18.7208333333333,38.1208333333333,107.166666666667,205.458333333333
1,23.8,90.37,2021-01-22,17.3833333333333,36.1041666666667,107.466666666667,200.241666666667
1,23.8,90.37,2021-01-23,17.0375,34.4208333333333,107.525,196.879166666667
1,23.8,90.37,2021-01-24,18.5208333333333,35.5583333333333,109.4125,196.6125
1,23.8,90.37,2021-01-25,17.7791666666667,36.3,108.841666666667,195.416666666667
1,23.8,90.37,2021-01-26,17.425,35.2041666666667,106.866666666667,195.3125
1,23.8,90.37,2021-01-27,16.2708333333333,33.6958333333333,104.416666666667,194.5
1,23.8,90.37,2021-01-28,15.7041666666667,31.975,102.7375,193.225
1,23.8,90.37,2021-01-29,16.8541666666667,32.5583333333333,102.554166666667,193.445833333333
1,23.8,90.37,2021-01-30,17.2333333333333,34.0875,101.266666666667,192.329166666667
1,23.8,90.37,2021-01-31,14.4708333333333,31.7041666666667,97.9583333333333,187.4
1,23.8,90.37,2021-02-01,14.3625,28.8333333333333,94.8958333333333,183.041666666667
1,23.8,90.37,2021-02-02,15.5458333333333,29.9083333333333,94.1708333333333,181.204166666667
1,23.8,90.37,2021-02-03,16.7083333333333,32.2541666666667,95.175,180.875
1,23.8,90.37,2021-02-04,18.2,34.9083333333333,96.5208333333333,180.554166666667
1,23.8,90.37,2021-02-05,18.8125,37.0125,98.1,181.5875
1,23.8,90.37,2021-02-06,19.8625,38.675,103.491666666667,184.025
1,23.8,90.37,2021-02-07,18.45,38.3125,107.579166666667,186.204166666667
1,23.8,90.37,2021-02-08,18.9916666666667,37.4416666666667,111.025,189.491666666667
1,23.8,90.37,2021-02-09,18.875,37.8666666666667,113.191666666667,191.5125
1,23.8,90.37,2021-02-10,19.2416666666667,38.1166666666667,114.233333333333,193.520833333333
1,23.8,90.37,2021-02-11,20.1333333333333,39.375,115.554166666667,199.183333333333
1,23.8,90.37,2021-02-12,20.4208333333333,40.5541666666667,116.1125,205.241666666667
1,23.8,90.37,2021-02-13,19.8166666666667,40.2375,117.479166666667,209.5125
1,23.8,90.37,2021-02-14,20.3458333333333,40.1625,118.833333333333,213.15
1,23.8,90.37,2021-02-15,21.8791666666667,42.225,121.8375,216.829166666667
1,23.8,90.37,2021-02-16,21.2375,43.1166666666667,123.833333333333,219.254166666667
1,23.8,90.37,2021-02-17,21.475,42.7125,125.175,220.866666666667
1,23.8,90.37,2021-02-18,21.9458333333333,43.4208333333333,126.7,224.3625
1,23.8,90.37,2021-02-19,22.3375,44.2833333333333,129.220833333333,227.708333333333
1,23.8,90.37,2021-02-20,22.0458333333333,44.3833333333333,130.920833333333,230.879166666667
1,23.8,90.37,2021-02-21,21.9291666666667,43.975,130.970833333333,233.566666666667
1,23.8,90.37,2021-02-22,21.5125,43.4416666666667,131.245833333333,234.945833333333
1,23.8,90.37,2021-02-23,21.8375,43.35,131.608333333333,236.3625
1,23.8,90.37,2021-02-24,22.9666666666667,44.8041666666667,132.629166666667,239.5125
1,23.8,90.37,2021-02-25,24.3791666666667,47.3458333333333,134.670833333333,243.545833333333
1,23.8,90.37,2021-02-26,25.0166666666667,49.3958333333333,137.641666666667,246.683333333333
1,23.8,90.37,2021-02-27,25.6291666666667,50.6458333333333,141.341666666667,251.075
1,23.8,90.37,2021-02-28,25.8791666666667,51.5083333333333,145.708333333333,255.479166666667
1,23.8,90.37,2021-03-01,25.6416666666667,51.5208333333333,149.5125,259.175
1,23.8,90.37,2021-03-02,25.4875,51.1291666666667,152.033333333333,262.325
1,23.8,90.37,2021-03-03,25.1458333333333,50.6333333333333,152.8,265.425
1,23.8,90.37,2021-03-04,24.1041666666667,49.25,151.8875,267.6
1,23.8,90.37,2021-03-05,24.9208333333333,49.025,151.179166666667,271.008333333333
1,23.8,90.37,2021-03-06,26.4791666666667,51.4,151.779166666667,275.65
1,23.8,90.37,2021-03-07,25.7,52.1791666666667,151.8375,278.383333333333
1,23.8,90.37,2021-03-08,25.7833333333333,51.4833333333333,152.133333333333,279.7875
1,23.8,90.37,2021-03-09,25.5458333333333,51.3291666666667,152.533333333333,280.316666666667
1,23.8,90.37,2021-03-10,26.5458333333333,52.0916666666667,154.975,281.233333333333
2,23.8,90.37,2020-03-07,21.7416666666667,44.3916666666667,139.379166666667,245.829166666667
2,23.8,90.37,2020-03-08,22.3791666666667,44.1208333333333,137.4625,248.1125
2,23.8,90.37,2020-03-09,22.3291666666667,44.7083333333333,135.883333333333,249.9
2,23.8,90.37,2020-03-10,22.0875,44.4166666666667,134.8625,250.820833333333
2,23.8,90.37,2020-03-11,24.0791666666667,46.1666666666667,135.266666666667,253.2375
2,23.8,90.37,2020-03-12,26.1791666666667,50.2583333333333,138.795833333333,256.433333333333
2,23.8,90.37,2020-03-13,27.0291666666667,53.2083333333333,144.083333333333,259.166666666667
2,23.8,90.37,2020-03-14,26.8833333333333,53.9125,148.5875,262.141666666667
2,23.8,90.37,2020-03-15,25.2875,52.1708333333333,151.545833333333,264.320833333333
2,23.8,90.37,2020-03-16,25.8041666666667,51.0916666666667,155.2625,266.45
2,23.8,90.37,2020-03-17,25.5541666666667,51.3583333333333,156.7375,269.354166666667
2,23.8,90.37,2020-03-18,25.6333333333333,51.1875,156.191666666667,273.245833333333
2,23.8,90.37,2020-03-19,25.2541666666667,50.8875,154.416666666667,276.120833333333
2,23.8,90.37,2020-03-20,25.4916666666667,50.7458333333333,153.025,279.283333333333
2,23.8,90.37,2020-03-21,25.9333333333333,51.425,153.670833333333,283.129166666667
2,23.8,90.37,2020-03-22,24.3583333333333,50.2916666666667,152.225,283.408333333333
2,23.8,90.37,2020-03-23,24.5,48.8583333333333,151.170833333333,281.729166666667
2,23.8,90.37,2020-03-24,25.4625,49.9625,151,280.1625
2,23.8,90.37,2020-03-25,27.2833333333333,52.7458333333333,153.029166666667,280.5625
2,23.8,90.37,2020-03-26,28.3458333333333,55.6291666666667,155.883333333333,283.620833333333
2,23.8,90.37,2020-03-27,29.0583333333333,57.4041666666667,159.008333333333,286.875
2,23.8,90.37,2020-03-28,29.3333333333333,58.3916666666667,163.983333333333,290.654166666667
2,23.8,90.37,2020-03-29,28.4791666666667,57.8125,167.9625,293.5
2,23.8,90.37,2020-03-30,27.6791666666667,56.1583333333333,170.179166666667,295.925
2,23.8,90.37,2020-03-31,27.2916666666667,54.9708333333333,170.1875,297.725
2,23.8,90.37,2020-04-01,27.9583333333333,55.25,169.8,299.75
2,23.8,90.37,2020-04-02,29.1125,57.0708333333333,169.854166666667,304.504166666667
2,23.8,90.37,2020-04-03,29.0791666666667,58.1916666666667,169.6,309.083333333333
2,23.8,90.37,2020-04-04,28.6833333333333,57.7625,169.804166666667,312.304166666667
2,23.8,90.37,2020-04-05,28.375,57.0583333333333,170.5,313.395833333333
2,23.8,90.37,2020-04-06,29.175,57.55,172.383333333333,314.225
2,23.8,90.37,2020-04-07,30.2625,59.4375,174.6875,315.429166666667
2,23.8,90.37,2020-04-08,29.0666666666667,59.3291666666667,174.641666666667,315.1625
2,23.8,90.37,2020-04-09,28.8166666666667,57.8833333333333,174.379166666667,315.5
2,23.8,90.37,2020-04-10,29.2333333333333,58.05,174.929166666667,317.054166666667
2,23.8,90.37,2020-04-11,29.1,58.3333333333333,175.654166666667,318.8625
2,23.8,90.37,2020-04-12,27.2583333333333,56.3583333333333,173.7375,318.1625
2,23.8,90.37,2020-04-13,28.7125,55.9708333333333,172.1875,317.7625
2,23.8,90.37,2020-04-14,29.4958333333333,58.2083333333333,172.616666666667,318.179166666667
2,23.8,90.37,2020-04-15,28.1375,57.6333333333333,171.9375,317.633333333333
2,23.8,90.37,2020-04-16,28.1791666666667,56.3166666666667,170.883333333333,317.4375
2,23.8,90.37,2020-04-17,27.0666666666667,55.2458333333333,168.85,315.329166666667
2,23.8,90.37,2020-04-18,26.8291666666667,53.8958333333333,168.420833333333,311.895833333333
2,23.8,90.37,2020-04-19,28.3416666666667,55.1708333333333,168.05,311.170833333333
2,23.8,90.37,2020-04-20,27.8583333333333,56.2,166.4125,310.2125
2,23.8,90.37,2020-04-21,25.7416666666667,53.6,164.016666666667,306.720833333333
2,23.8,90.37,2020-04-22,24.8875,50.6291666666667,160.725,302.508333333333
2,23.8,90.37,2020-04-23,24.7333333333333,49.6208333333333,158.391666666667,299.983333333333
2,23.8,90.37,2020-04-24,24.6416666666667,49.375,156.204166666667,295.9125
2,23.8,90.37,2020-04-25,24.5083333333333,49.15,152.370833333333,290.925
2,23.8,90.37,2020-04-26,24.7541666666667,49.2625,149.266666666667,287.541666666667
2,23.8,90.37,2020-04-27,25.5333333333333,50.2875,149.058333333333,284.895833333333
2,23.8,90.37,2020-04-28,24.6291666666667,50.1625,148.8,282.458333333333
2,23.8,90.37,2020-04-29,24.75,49.3791666666667,148.816666666667,280.379166666667
2,23.8,90.37,2020-04-30,25.5125,50.2625,149.6875,277.55
2,23.8,90.37,2020-05-01,25.7375,51.25,150.916666666667,275.429166666667
2,23.8,90.37,2020-05-02,25.6208333333333,51.3583333333333,151.783333333333,275.308333333333
2,23.8,90.37,2020-05-03,25.725,51.3458333333333,151.975,276.145833333333
2,23.8,90.37,2020-05-04,27.1083333333333,52.8333333333333,154.454166666667,278.520833333333
2,23.8,90.37,2020-05-05,28.1625,55.2708333333333,157.866666666667,282.041666666667
2,23.8,90.37,2020-05-06,26.9625,55.125,159.316666666667,284.495833333333
2,23.8,90.37,2020-05-07,27.4291666666667,54.3916666666667,161.008333333333,287.170833333333
2,23.8,90.37,2020-05-08,27.2708333333333,54.7,162.658333333333,288.908333333333
2,23.8,90.37,2020-05-09,28.1666666666667,55.4375,165.1,292.445833333333
2,23.8,90.37,2020-05-10,28.6291666666667,56.7958333333333,166.620833333333,296.325
2,23.8,90.37,2020-05-11,29.4333333333333,58.0625,167.891666666667,300.245833333333
2,23.8,90.37,2020-05-12,29.725,59.1583333333333,170.654166666667,304.233333333333
2,23.8,90.37,2020-05-13,28.3708333333333,58.0958333333333,171.595833333333,306.983333333333
2,23.8,90.37,2020-05-14,28.5541666666667,56.925,172.879166666667,309.8125
2,23.8,90.37,2020-05-15,27.7416666666667,56.2958333333333,172.454166666667,310.445833333333
2,23.8,90.37,2020-05-16,29.6041666666667,57.3458333333333,173.429166666667,311.8875
2,23.8,90.37,2020-05-17,29.7333333333333,59.3375,173.729166666667,314.658333333333
2,23.8,90.37,2020-05-18,29.5583333333333,59.2916666666667,173.5625,316.7875
2,23.8,90.37,2020-05-19,28.0416666666667,57.6,173.233333333333,317.558333333333
2,23.8,90.37,2020-05-20,26.9083333333333,54.95,171.5875,316.3
2,23.8,90.37,2020-05-21,27.1583333333333,54.0666666666667,171.004166666667,314.829166666667
2,23.8,90.37,2020-05-22,27.5291666666667,54.6875,168.929166666667,312.925
2,23.8,90.37,2020-05-23,29.3416666666667,56.8708333333333,168.5375,312.541666666667
2,23.8,90.37,2020-05-24,28.975,58.3166666666667,167.954166666667,313.145833333333
2,23.8,90.37,2020-05-25,29.3166666666667,58.2916666666667,169.229166666667,313.908333333333
2,23.8,90.37,2020-05-26,29.1416666666667,58.4583333333333,171.4625,315.308333333333
2,23.8,90.37,2020-05-27,27.7291666666667,56.8708333333333,172.033333333333,313.433333333333
2,23.8,90.37,2020-05-28,26.5083333333333,54.2375,171.0125,310.208333333333
2,23.8,90.37,2020-05-29,26.0083333333333,52.5166666666667,167.679166666667,306.658333333333
2,23.8,90.37,2020-05-30,26.7,52.7083333333333,165.404166666667,305.316666666667
2,23.8,90.37,2020-05-31,27.9375,54.6375,164.025,306.345833333333
2,23.8,90.37,2020-06-01,28.4583333333333,56.3958333333333,163.341666666667,307.645833333333
2,23.8,90.37,2020-06-02,28.5666666666667,57.025,164.179166666667,308.683333333333
2,23.8,90.37,2020-06-03,27.8416666666667,56.4083333333333,165.5125,307.183333333333
2,23.8,90.37,2020-06-04,27.8833333333333,55.725,167.3875,306.091666666667
2,23.8,90.37,2020-06-05,28.5708333333333,56.4541666666667,169.258333333333,305.345833333333
2,23.8,90.37,2020-06-06,28.375,56.9458333333333,169.695833333333,304.579166666667
2,23.8,90.37,2020-06-07,28.6625,57.0375,169.9,305.5125
2,23.8,90.37,2020-06-08,28.6333333333333,57.2958333333333,169.966666666667,307.6375
2,23.8,90.37,2020-06-09,29.8625,58.4958333333333,171.9875,311.491666666667
2,23.8,90.37,2020-06-10,28.575,58.4375,172.679166666667,313.366666666667
2,23.8,90.37,2020-06-11,27.8125,56.3875,171.920833333333,313.241666666667
2,23.8,90.37,2020-06-12,27.3791666666667,55.1916666666667,170.925,312.1625
2,23.8,90.37,2020-06-13,27.425,54.8041666666667,169.6875,311.020833333333
2,23.8,90.37,2020-06-14,28.3041666666667,55.7291666666667,169.358333333333,311.483333333333
2,23.8,90.37,2020-06-15,28.0791666666667,56.3833333333333,167.575,311.679166666667
2,23.8,90.37,2020-06-16,27.9208333333333,56,166.920833333333,311.029166666667
2,23.8,90.37,2020-06-17,26.3375,54.2583333333333,165.445833333333,308.991666666667
2,23.8,90.37,2020-06-18,27.1875,53.525,165.254166666667,307.516666666667
2,23.8,90.37,2020-06-19,27.0666666666667,54.2541666666667,164.895833333333,305.95
2,23.8,90.37,2020-06-20,28.3,55.3666666666667,164.891666666667,304.3875
2,23.8,90.37,2020-06-21,27.7083333333333,56.0083333333333,164.520833333333,303.520833333333
2,23.8,90.37,2020-06-22,28.2833333333333,55.9916666666667,164.883333333333,303.991666666667
2,23.8,90.37,2020-06-23,28.525,56.8083333333333,167.070833333333,305.1375
2,23.8,90.37,2020-06-24,29.3041666666667,57.8291666666667,169.1875,307.016666666667
2,23.8,90.37,2020-06-25,29.6125,58.9166666666667,171.733333333333,308.325
2,23.8,90.37,2020-06-26,29.1,58.7125,172.533333333333,309.345833333333
2,23.8,90.37,2020-06-27,27.9583333333333,57.0583333333333,172.783333333333,309.383333333333
2,23.8,90.37,2020-06-28,27.0291666666667,54.9875,171.529166666667,310.075
2,23.8,90.37,2020-06-29,27.6125,54.6416666666667,170.616666666667,310.5
2,23.8,90.37,2020-06-30,28.3041666666667,55.9166666666667,169.616666666667,311.7375
2,23.8,90.37,2020-07-01,29,57.3041666666667,169.004166666667,312.4375
2,23.8,90.37,2020-07-02,29.3458333333333,58.3458333333333,169.25,314.075
2,23.8,90.37,2020-07-03,29.5833333333333,58.9291666666667,170.875,315.375
2,23.8,90.37,2020-07-04,28.5291666666667,58.1125,172.375,315.379166666667
2,23.8,90.37,2020-07-05,27.5083333333333,56.0375,172.270833333333,313.583333333333
2,23.8,90.37,2020-07-06,27.9375,55.4458333333333,171.904166666667,311.908333333333
2,23.8,90.37,2020-07-07,28.3708333333333,56.3083333333333,171.275,311.179166666667
2,23.8,90.37,2020-07-08,28.4666666666667,56.8375,170.395833333333,311.6875
2,23.8,90.37,2020-07-09,28.2666666666667,56.7333333333333,169.079166666667,312.925
2,23.8,90.37,2020-07-10,28.5708333333333,56.8375,169.120833333333,313.883333333333
2,23.8,90.37,2020-07-11,27.7875,56.3583333333333,169.4,313.366666666667
2,23.8,90.37,2020-07-12,27.1125,54.9,168.575,311.479166666667
2,23.8,90.37,2020-07-13,27.6541666666667,54.7666666666667,167.858333333333,309.7875
2,23.8,90.37,2020-07-14,27.975,55.6291666666667,167.366666666667,308.179166666667
2,23.8,90.37,2020-07-15,28.3583333333333,56.3333333333333,167.458333333333,308.008333333333
2,23.8,90.37,2020-07-16,28.7416666666667,57.1,167.629166666667,309.241666666667
2,23.8,90.37,2020-07-17,28.7208333333333,57.4625,168.5625,310.025
2,23.8,90.37,2020-07-18,28.7791666666667,57.5,170.229166666667,310.433333333333
2,23.8,90.37,2020-07-19,28.9375,57.7166666666667,171.5125,310.904166666667
2,23.8,90.37,2020-07-20,27.6208333333333,56.5583333333333,171.158333333333,310.258333333333
2,23.8,90.37,2020-07-21,27.3541666666667,54.975,170.154166666667,309.041666666667
2,23.8,90.37,2020-07-22,26.6458333333333,54,168.058333333333,307.9
2,23.8,90.37,2020-07-23,27.6125,54.2583333333333,166.95,308.4
2,23.8,90.37,2020-07-24,27.4375,55.05,165.608333333333,308.183333333333
2,23.8,90.37,2020-07-25,28.6458333333333,56.0833333333333,165.316666666667,308.854166666667
2,23.8,90.37,2020-07-26,29.7666666666667,58.4125,167.4625,310.2625
2,23.8,90.37,2020-07-27,29.1041666666667,58.8708333333333,169.2125,310.625
2,23.8,90.37,2020-07-28,28.4333333333333,57.5375,171,310.3375
2,23.8,90.37,2020-07-29,27.9125,56.3458333333333,171.3,309.470833333333
2,23.8,90.37,2020-07-30,28.6333333333333,56.5458333333333,172.495833333333,309.166666666667
2,23.8,90.37,2020-07-31,29.3625,57.9958333333333,173.2125,310.908333333333
2,23.8,90.37,2020-08-01,29.5416666666667,58.9041666666667,172.9875,313.095833333333
2,23.8,90.37,2020-08-02,29.9625,59.5041666666667,173.845833333333,316.4125
2,23.8,90.37,2020-08-03,30.825,60.7875,176.2375,319.625
2,23.8,90.37,2020-08-04,29.7208333333333,60.5458333333333,178.045833333333,321.908333333333
2,23.8,90.37,2020-08-05,28.5625,58.2833333333333,177.975,321.825
2,23.8,90.37,2020-08-06,28.3916666666667,56.9541666666667,177.004166666667,320.45
2,23.8,90.37,2020-08-07,28.7791666666667,57.1708333333333,176.241666666667,320.125
2,23.8,90.37,2020-08-08,29.075,57.8541666666667,175.354166666667,320.766666666667
2,23.8,90.37,2020-08-09,29.0166666666667,58.0916666666667,173.545833333333,321.870833333333
2,23.8,90.37,2020-08-10,29.2416666666667,58.2583333333333,173.066666666667,322.479166666667
2,23.8,90.37,2020-08-11,28.6541666666667,57.8958333333333,173.158333333333,321.770833333333
2,23.8,90.37,2020-08-12,28.975,57.6291666666667,173.741666666667,321.204166666667
2,23.8,90.37,2020-08-13,29.4,58.375,174.3625,320.641666666667
2,23.8,90.37,2020-08-14,29.5125,58.9125,174.8,319.329166666667
2,23.8,90.37,2020-08-15,28,57.5125,173.783333333333,317.608333333333
2,23.8,90.37,2020-08-16,27.725,55.725,172.266666666667,316.770833333333
2,23.8,90.37,2020-08-17,27.5208333333333,55.2458333333333,171.133333333333,315.9
2,23.8,90.37,2020-08-18,27.8166666666667,55.3375,169.975,314.9375
2,23.8,90.37,2020-08-19,26.8541666666667,54.6708333333333,167.429166666667,312.716666666667
2,23.8,90.37,2020-08-20,26,52.8541666666667,163.916666666667,309.7
2,23.8,90.37,2020-08-21,26.2333333333333,52.2333333333333,162.15,306.691666666667
2,23.8,90.37,2020-08-22,26.4666666666667,52.7,160.891666666667,304.504166666667
2,23.8,90.37,2020-08-23,27.5541666666667,54.0208333333333,160.925,303.083333333333
2,23.8,90.37,2020-08-24,28.6333333333333,56.1875,161.741666666667,302.316666666667
2,23.8,90.37,2020-08-25,28.3708333333333,57.0041666666667,163.258333333333,301.175
2,23.8,90.37,2020-08-26,27.5625,55.9333333333333,164.820833333333,300.7375
2,23.8,90.37,2020-08-27,27.7125,55.275,166.3,300.725
2,23.8,90.37,2020-08-28,27.725,55.4375,167.558333333333,300.929166666667
2,23.8,90.37,2020-08-29,28.9791666666667,56.7041666666667,168.983333333333,302.091666666667
2,23.8,90.37,2020-08-30,29.2208333333333,58.2,169.570833333333,304.458333333333
2,23.8,90.37,2020-08-31,29.0625,58.2833333333333,170.2625,307.520833333333
2,23.8,90.37,2020-09-01,27.1083333333333,56.1708333333333,169.808333333333,308.395833333333
2,23.8,90.37,2020-09-02,28.0375,55.1458333333333,170.133333333333,309.966666666667
2,23.8,90.37,2020-09-03,28.8625,56.9,171.270833333333,311.275
2,23.8,90.37,2020-09-04,29.7333333333333,58.5958333333333,172.025,312.375
2,23.8,90.37,2020-09-05,29.9083333333333,59.6416666666667,172.7125,313.9125
2,23.8,90.37,2020-09-06,29.5833333333333,59.4916666666667,173.233333333333,315.933333333333
